Nuclide ; Tc-104 
Element ; Technetium
Z ; 43
Daughter(s) ; (B-) ; Ru-104 ; 100
Q- ; 5587
Half-life (min) ; 18.3 ; 0.3
Half-life (s) ; 1.098E3 ; 0.018E3
Decay constant (1/s) ; 631E-6 ; 10E-6
Specific activity (Bq/g) ; 3.66E18 ; 0.06E18
Reference ; NDS 41 & 64 - 1999
Coincidence threshold ; 0%
Emissions (168 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Possible coinc./Sum of
1635.8 ; 0.2 ; 0.63 ; 0.08 ; g ; Ru-104 ; -1 ; 92 ;  ; 
1676.8 ; 0.1 ; 7.8 ; 0.8 ; g ; Ru-104 ; -1 ; 93 ;  ; 
1708.9 ; 0.2 ; 0.36 ; 0.09 ; g ; Ru-104 ; -1 ; 94 ;  ; 
1722.7 ; 0.1 ; 0.69 ; 0.08 ; g ; Ru-104 ; -1 ; 95 ;  ; 
1736.9 ; 0.1 ; 1.87 ; 0.19 ; g ; Ru-104 ; -1 ; 96 ;  ; 
1840.5 ; 0.3 ; 0.18 ; 0.09 ; g ; Ru-104 ; -1 ; 97 ;  ; 
1871.6 ; 0.3 ; 0.22 ; 0.09 ; g ; Ru-104 ; -1 ; 98 ;  ; 
1911.0 ; 0.1 ; 1.96 ; 0.19 ; g ; Ru-104 ; -1 ; 99 ;  ; 
1927.9 ; 0.3 ; 0.42 ; 0.06 ; g ; Ru-104 ; -1 ; 100 ;  ; 
1931.2 ; 0.3 ; 0.36 ; 0.06 ; g ; Ru-104 ; -1 ; 101 ;  ; 
1934.8 ; 0.3 ; 0.22 ; 0.04 ; g ; Ru-104 ; -1 ; 102 ;  ; 
1937.3 ; 0.3 ; 0.20 ; 0.04 ; g ; Ru-104 ; -1 ; 103 ;  ; 
1971.1 ; 0.2 ; 1.60 ; 0.19 ; g ; Ru-104 ; -1 ; 104 ;  ; 
1986.2 ; 0.2 ; 0.18 ; 0.09 ; g ; Ru-104 ; -1 ; 105 ;  ; 
1997.1 ; 0.2 ; 0.55 ; 0.07 ; g ; Ru-104 ; -1 ; 106 ;  ; 
2015.7 ; 0.1 ; 1.78 ; 0.19 ; g ; Ru-104 ; -1 ; 107 ;  ; 
2061.8 ; 0.2 ; 0.31 ; 0.05 ; g ; Ru-104 ; -1 ; 108 ;  ; 
2089.3 ; 0.2 ; 0.41 ; 0.05 ; g ; Ru-104 ; -1 ; 109 ;  ; 
2095.3 ; 0.2 ; 0.54 ; 0.06 ; g ; Ru-104 ; -1 ; 110 ;  ; 
2123.8 ; 0.1 ; 2.22 ; 0.20 ; g ; Ru-104 ; -1 ; 111 ;  ; 
2151.1 ; 0.2 ; 0.21 ; 0.03 ; g ; Ru-104 ; -1 ; 112 ;  ; 
2181.9 ; 0.1 ; 0.44 ; 0.05 ; g ; Ru-104 ; -1 ; 113 ;  ; 
2190.5 ; 0.1 ; 1.78 ; 0.19 ; g ; Ru-104 ; -1 ; 114 ;  ; 
2239.3 ; 0.2 ; 0.33 ; 0.05 ; g ; Ru-104 ; -1 ; 115 ;  ; 
2258.1 ; 0.2 ; 0.65 ; 0.07 ; g ; Ru-104 ; -1 ; 116 ;  ; 
2332.2 ; 0.2 ; 0.98 ; 0.10 ; g ; Ru-104 ; -1 ; 117 ;  ; 
2340.4 ; 0.5 ; 0.22 ; 0.06 ; g ; Ru-104 ; -1 ; 118 ;  ; 
2375.8 ; 0.2 ; 0.19 ; 0.05 ; g ; Ru-104 ; -1 ; 119 ;  ; 
2395.3 ; 0.2 ; 0.35 ; 0.05 ; g ; Ru-104 ; -1 ; 120 ;  ; 
2465.5 ; 0.2 ; 1.16 ; 0.10 ; g ; Ru-104 ; -1 ; 121 ;  ; 
2513.8 ; 0.2 ; 0.51 ; 0.06 ; g ; Ru-104 ; -1 ; 122 ;  ; 
2525.8 ; 0.3 ; 0.098 ; 0.019 ; g ; Ru-104 ; -1 ; 123 ;  ; 
2532.9 ; 0.2 ; 0.86 ; 0.10 ; g ; Ru-104 ; -1 ; 124 ;  ; 
2544.3 ; 0.2 ; 0.69 ; 0.08 ; g ; Ru-104 ; -1 ; 125 ;  ; 
2550.2 ; 0.2 ; 0.87 ; 0.09 ; g ; Ru-104 ; -1 ; 126 ;  ; 
2608.5 ; 0.2 ; 1.60 ; 0.19 ; g ; Ru-104 ; -1 ; 127 ;  ; 
2633.0 ; 0.3 ; 0.10 ; 0.04 ; g ; Ru-104 ; -1 ; 128 ;  ; 
2653.9 ; 0.3 ; 0.23 ; 0.03 ; g ; Ru-104 ; -1 ; 129 ;  ; 
2658.8 ; 0.3 ; 0.25 ; 0.03 ; g ; Ru-104 ; -1 ; 130 ;  ; 
2677.0 ; 0.2 ; 0.33 ; 0.05 ; g ; Ru-104 ; -1 ; 131 ;  ; 
2690.9 ; 0.2 ; 0.18 ; 0.04 ; g ; Ru-104 ; -1 ; 132 ;  ; 
2705.9 ; 0.2 ; 0.26 ; 0.03 ; g ; Ru-104 ; -1 ; 133 ;  ; 
2717.0 ; 0.2 ; 0.59 ; 0.07 ; g ; Ru-104 ; -1 ; 134 ;  ; 
2724.9 ; 0.2 ; 0.36 ; 0.05 ; g ; Ru-104 ; -1 ; 135 ;  ; 
2788.2 ; 0.2 ; 0.53 ; 0.06 ; g ; Ru-104 ; -1 ; 136 ;  ; 
2813.2 ; 0.3 ; 0.20 ; 0.03 ; g ; Ru-104 ; -1 ; 137 ;  ; 
2816.8 ; 0.3 ; 0.14 ; 0.03 ; g ; Ru-104 ; -1 ; 138 ;  ; 
2830.2 ; 0.3 ; 0.21 ; 0.03 ; g ; Ru-104 ; -1 ; 139 ;  ; 
2838.3 ; 0.3 ; 0.37 ; 0.05 ; g ; Ru-104 ; -1 ; 140 ;  ; 
2927.9 ; 0.5 ; 0.13 ; 0.05 ; g ; Ru-104 ; -1 ; 141 ;  ; 
2975.8 ; 0.3 ; 0.22 ; 0.03 ; g ; Ru-104 ; -1 ; 142 ;  ; 
2982.3 ; 0.3 ; 0.107 ; 0.019 ; g ; Ru-104 ; -1 ; 143 ;  ; 
3007.0 ; 0.3 ; 0.36 ; 0.05 ; g ; Ru-104 ; -1 ; 144 ;  ; 
3026.4 ; 0.3 ; 0.22 ; 0.03 ; g ; Ru-104 ; -1 ; 145 ;  ; 
3056.5 ; 0.3 ; 0.31 ; 0.04 ; g ; Ru-104 ; -1 ; 146 ;  ; 
3085.4 ; 0.3 ; 0.15 ; 0.03 ; g ; Ru-104 ; -1 ; 147 ;  ; 
3143.4 ; 0.2 ; 0.8 ; 0.1 ; g ; Ru-104 ; -1 ; 148 ;  ; 
3149.2 ; 0.2 ; 1.16 ; 0.10 ; g ; Ru-104 ; -1 ; 149 ;  ; 
3187.3 ; 0.3 ; 0.41 ; 0.05 ; g ; Ru-104 ; -1 ; 150 ;  ; 
3225.6 ; 0.3 ; 0.31 ; 0.04 ; g ; Ru-104 ; -1 ; 151 ;  ; 
3260.3 ; 0.3 ; 0.17 ; 0.03 ; g ; Ru-104 ; -1 ; 152 ;  ; 
3276.8 ; 0.3 ; 0.13 ; 0.03 ; g ; Ru-104 ; -1 ; 153 ;  ; 
3318.7 ; 0.3 ; 0.29 ; 0.04 ; g ; Ru-104 ; -1 ; 154 ;  ; 
3370.6 ; 0.3 ; 0.29 ; 0.04 ; g ; Ru-104 ; -1 ; 155 ;  ; 
3374.5 ; 0.3 ; 0.24 ; 0.04 ; g ; Ru-104 ; -1 ; 156 ;  ; 
3418.2 ; 0.3 ; 0.36 ; 0.08 ; g ; Ru-104 ; -1 ; 157 ;  ; 
3517.3 ; 0.4 ; 0.16 ; 0.03 ; g ; Ru-104 ; -1 ; 158 ;  ; 
3637.7 ; 0.4 ; 0.28 ; 0.04 ; g ; Ru-104 ; -1 ; 159 ;  ; 
3704.3 ; 0.4 ; 0.098 ; 0.019 ; g ; Ru-104 ; -1 ; 160 ;  ; 
3714.3 ; 0.4 ; 0.47 ; 0.06 ; g ; Ru-104 ; -1 ; 161 ;  ; 
3811.9 ; 0.4 ; 0.12 ; 0.04 ; g ; Ru-104 ; -1 ; 162 ;  ; 
==========================================================================================================================================
