Nuclide ; Eu-152 
Element ; Europium
Z ; 63
Daughter(s) ; (B+, EC) ; Sm-152 ; 72.1 ; (B-) ; Gd-152 ; 27.9
Q+ ; 1874.3 ; Q- ; 1818.8
Half-life (a) ; 13.522 ; 0.016
Half-life (s) ; 426.7E6 ; 0.5E6
Decay constant (1/s) ; 1.6244E-9 ; 0.0019E-9
Specific activity (Bq/g) ; 6.436E12 ; 0.008E12
Reference ; USP, LBNL - 2004
Coincidence threshold ; 1%
X and gamma emissions (142 lines) sorted by decreasing intensity
------------------------------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Possible coinc./Sum of
46.6977 ;  ; 3.04 ; 0.08 ; XK'b2 ; Sm ;  ;  ;  ; 
443.965 ; 0.003 ; 2.80 ; 0.02 ; g ; Sm-152 ; 13 ; 9 ;  ; 
411.1165 ; 0.0012 ; 2.238 ; 0.010 ; g ; Gd-152 ; 3 ; 1 ;  ; 
1089.737 ; 0.005 ; 1.73 ; 0.01 ; g ; Gd-152 ; 11 ; 1 ;  ; 
1299.142 ; 0.008 ; 1.633 ; 0.009 ; g ; Gd-152 ; 14 ; 1 ;  ; 
1212.948 ; 0.011 ; 1.416 ; 0.009 ; g ; Sm-152 ; 14 ; 2 ;  ; 
367.7891 ; 0.0020 ; 0.862 ; 0.005 ; g ; Gd-152 ; 7 ; 3 ;  ; 
688.670 ; 0.005 ; 0.841 ; 0.006 ; g ; Sm-152 ; 5 ; 1 ;  ; 
1005.272 ; 0.017 ; 0.665 ; 0.023 ; g ; Sm-152 ; 12 ; 2 ;  ; 
1457.643 ; 0.011 ; 0.498 ; 0.004 ; g ; Sm-152 ; 14 ; 1 ;  ; 
678.623 ; 0.005 ; 0.470 ; 0.004 ; g ; Gd-152 ; 11 ; 3 ;  ; 
586.265 ; 0.003 ; 0.462 ; 0.004 ; g ; Gd-152 ; 4 ; 1 ;  ; 
563.990 ; 0.007 ; 0.457 ; 0.013 ; g ; Sm-152 ; 16 ; 9 ;  ; 
295.9387 ; 0.0017 ; 0.442 ; 0.003 ; g ; Sm-152 ; 13 ; 10 ;  ; 
42.9967 ;  ; 0.437 ; 0.012 ; XKa1 ; Gd ;  ;  ;  ; 
919.337 ; 0.004 ; 0.429 ; 0.005 ; g ; Sm-152 ; 8 ; 1 ;  ; 
488.6792 ; 0.0020 ; 0.4139 ; 0.0024 ; g ; Sm-152 ; 13 ; 8 ;  ; 
443.965 ; 0.003 ; 0.32 ; 0.02 ; g ; Sm-152 ; 5 ; 2 ;  ; 
810.451 ; 0.005 ; 0.317 ; 0.003 ; g ; Sm-152 ; 5 ; 0 ;  ; 
1528.103 ; 0.018 ; 0.281 ; 0.005 ; g ; Sm-152 ; 16 ; 1 ;  ; 
926.317 ; 0.015 ; 0.273 ; 0.004 ; g ; Sm-152 ; 11 ; 2 ;  ; 
719.349 ; 0.004 ; 0.268 ; 0.013 ; g ; Sm-152 ; 9 ; 2 ;  ; 
1084 ; 1 ; 0.244 ; 0.008 ; g ; Sm-152 ; -1 ; 15 ;  ; 
42.3093 ;  ; 0.243 ; 0.007 ; XKa2 ; Gd ;  ;  ;  ; 
764.900 ; 0.009 ; 0.190 ; 0.004 ; g ; Gd-152 ; 6 ; 1 ;  ; 
1109.174 ; 0.012 ; 0.186 ; 0.004 ; g ; Gd-152 ; 6 ; 0 ;  ; 
1249.938 ; 0.013 ; 0.186 ; 0.003 ; g ; Sm-152 ; 12 ; 1 ;  ; 
6.73255 ;  ; 0.177 ; 0.005 ; XL ; Gd ;  ;  ;  ; 
674.675 ; 0.003 ; 0.170 ; 0.004 ; g ; Sm-152 ; 8 ; 2 ;  ; 
841.574 ; 0.005 ; 0.163 ; 0.002 ; g ; Sm-152 ; 6 ; 1 ;  ; 
503.474 ; 0.005 ; 0.1533 ; 0.0018 ; g ; Gd-152 ; 11 ; 4 ;  ; 
656.489 ; 0.005 ; 0.1437 ; 0.0018 ; g ; Sm-152 ; 7 ; 2 ;  ; 
48.7687 ;  ; 0.138 ; 0.004 ; XK'b1 ; Gd ;  ;  ;  ; 
963.390 ; 0.012 ; 0.1341 ; 0.0020 ; g ; Sm-152 ; 6 ; 0 ;  ; 
566.442 ; 0.005 ; 0.131 ; 0.004 ; g ; Sm-152 ; 13 ; 6 ;  ; 
329.425 ; 0.021 ; 0.129 ; 0.006 ; g ; Sm-152 ; 11 ; 6 ;  ; 
416.048 ; 0.008 ; 0.1090 ; 0.0017 ; g ; Sm-152 ; 16 ; 10 ;  ; 
1292.778 ; 0.019 ; 0.104 ; 0.003 ; g ; Sm-152 ; 11 ; 0 ;  ; 
712.843 ; 0.006 ; 0.0961 ; 0.0019 ; g ; Gd-152 ; 14 ; 4 ;  ; 
768.944 ; 0.009 ; 0.088 ; 0.003 ; g ; Sm-152 ; 14 ; 5 ;  ; 
901.181 ; 0.011 ; 0.084 ; 0.003 ; g ; Sm-152 ; 7 ; 1 ;  ; 
271.131 ; 0.008 ; 0.078 ; 0.003 ; g ; Gd-152 ; 2 ; 1 ;  ; 
324.83 ; 0.03 ; 0.0738 ; 0.0015 ; g ; Gd-152 ; 11 ; 6 ;  ; 
930.58 ; 0.15 ; 0.0729 ; 0.0019 ; g ; Gd-152 ; 4 ; 0 ;  ; 
251.633 ; 0.010 ; 0.0671 ; 0.0015 ; g ; Sm-152 ; 11 ; 8 ;  ; 
896.58 ; 0.09 ; 0.0669 ; 0.0021 ; g ; Sm-152 ; -1 ; 11 ;  ; 
719.349 ; 0.004 ; 0.059 ; 0.007 ; g ; Sm-152 ; 13 ; 5 ;  ; 
511 ;  ; 0.054 ; 0.030 ; g511 ; Sm-152 ; -1 ; -1 ;  ; 
520.227 ; 0.005 ; 0.0536 ; 0.0013 ; g ; Gd-152 ; 14 ; 7 ;  ; 
315.174 ; 0.017 ; 0.0496 ; 0.0017 ; g ; Gd-152 ; 4 ; 2 ;  ; 
562.93 ; 0.02 ; 0.038 ; 0.013 ; g ; Sm-152 ; 3 ; 1 ;  ; 
534.245 ; 0.007 ; 0.0368 ; 0.0019 ; g ; Gd-152 ; 14 ; 6 ;  ; 
1170.93 ; 0.11 ; 0.0365 ; 0.0013 ; g ; Sm-152 ; 11 ; 1 ;  ; 
50.093 ;  ; 0.0363 ; 0.0013 ; XK'b2 ; Gd ;  ;  ;  ; 
148.010 ; 0.017 ; 0.035 ; 0.005 ; g ; Sm-152 ; 10 ; 9 ;  ; 
1261.343 ; 0.023 ; 0.0336 ; 0.0011 ; g ; Gd-152 ; 13 ; 1 ;  ; 
275.449 ; 0.015 ; 0.0323 ; 0.0017 ; g ; Sm-152 ; 9 ; 5 ;  ; 
990.19 ; 0.03 ; 0.0315 ; 0.0013 ; g ; Gd-152 ; 13 ; 2 ;  ; 
340.40 ; 0.14 ; 0.031 ; 0.003 ; g ; Sm-152 ; 4 ; 2 ;  ; 
482.31 ; 0.03 ; 0.0279 ; 0.0016 ; g ; Sm-152 ; 11 ; 5 ;  ; 
493.508 ; 0.020 ; 0.0278 ; 0.0030 ; g ; Sm-152 ; 14 ; 9 ;  ; 
794.81 ; 0.03 ; 0.0263 ; 0.0010 ; g ; Gd-152 ; 12 ; 3 ;  ; 
1363.77 ; 0.05 ; 0.0256 ; 0.0008 ; g ; Sm-152 ; 17 ; 2 ;  ; 
958.63 ; 0.05 ; 0.0210 ; 0.0019 ; g ; Sm-152 ; 19 ; 5 ;  ; 
686.61 ; 0.05 ; 0.0200 ; 0.0017 ; g ; Sm-152 ; 16 ; 6 ;  ; 
212.568 ; 0.015 ; 0.0196 ; 0.0006 ; g ; Sm-152 ; 7 ; 5 ;  ; 
671.155 ; 0.017 ; 0.0194 ; 0.0013 ; g ; Sm-152 ; 18 ; 9 ;  ; 
125.69 ; 0.13 ; 0.019 ; 0.006 ; g ; Sm-152 ; 5 ; 3 ;  ; 
556.56 ; 0.03 ; 0.0177 ; 0.0011 ; g ; Sm-152 ; 14 ; 7 ;  ; 
1348.10 ; 0.07 ; 0.0175 ; 0.0008 ; g ; Gd-152 ; 15 ; 1 ;  ; 
674.677 ; 0.003 ; 0.0171 ; 0.0018 ; g ; Gd-152 ; 13 ; 4 ;  ; 
839.36 ; 0.04 ; 0.0160 ; 0.0008 ; g ; Sm-152 ; 16 ; 5 ;  ; 
906.01 ; 0.06 ; 0.016 ; 0.001 ; g ; Sm-152 ; 15 ; 4 ;  ; 
351.66 ; 0.04 ; 0.0140 ; 0.0022 ; g ; Gd-152 ; 8 ; 4 ;  ; 
974.09 ; 0.04 ; 0.0138 ; 0.0008 ; g ; Gd-152 ; 10 ; 1 ;  ; 
1206.11 ; 0.15 ; 0.0135 ; 0.0008 ; g ; Gd-152 ; 12 ; 1 ;  ; 
440.86 ; 0.10 ; 0.0133 ; 0.0010 ; g ; Gd-152 ; 12 ; 6 ;  ; 
526.881 ; 0.020 ; 0.0129 ; 0.0006 ; g ; Gd-152 ; 8 ; 3 ;  ; 
805.70 ; 0.07 ; 0.0125 ; 0.0008 ; g ; Sm-152 ; 19 ; 6 ;  ; 
523.13 ; 0.05 ; 0.0113 ; 0.0021 ; g ; Sm-152 ; 18 ; 10 ;  ; 
727.99 ; 0.14 ; 0.0106 ; 0.0013 ; g ; Sm-152 ; 19 ; 8 ;  ; 
285.98 ; 0.03 ; 0.0100 ; 0.0006 ; g ; Sm-152 ; 12 ; 9 ;  ; 
664.78 ; 0.05 ; 0.010 ; 0.003 ; g ; Sm-152 ; 12 ; 4 ;  ; 
1769.09 ; 0.05 ; 0.0092 ; 0.0003 ; g ; Sm-152 ; 19 ; 0 ;  ; 
616.05 ; 0.03 ; 0.0092 ; 0.0006 ; g ; Sm-152 ; 14 ; 6 ;  ; 
493.508 ; 0.020 ; 0.009 ; 0.002 ; g ; Gd-152 ; 6 ; 2 ;  ; 
1605.61 ; 0.07 ; 0.0081 ; 0.0004 ; g ; Gd-152 ; 13 ; 0 ;  ; 
239.42 ; 0.17 ; 0.008 ; 0.003 ; g ; Sm-152 ; 19 ; 13 ;  ; 
192.6 ; 0.4 ; 0.0068 ; 0.0002 ; g ; Gd-152 ; 7 ; 4 ;  ; 
1647.41 ; 0.14 ; 0.0064 ; 0.0004 ; g ; Sm-152 ; 19 ; 1 ;  ; 
644.37 ; 0.05 ; 0.0063 ; 0.0006 ; g ; Sm-152 ; 17 ; 9 ;  ; 
535.4 ; 0.4 ; 0.0060 ; 0.0016 ; g ; Sm-152 ; -1 ; 5 ;  ; 
269.86 ; 0.06 ; 0.0060 ; 0.0024 ; g ; Sm-152 ; 11 ; 7 ;  ; 
330.54 ; 0.10 ; 0.0060 ; 0.0017 ; g ; Sm-152 ; 12 ; 8 ;  ; 
1674.30 ; 0.06 ; 0.0060 ; 0.0008 ; g ; Sm-152 ; -1 ; 14 ;  ; 
207.6 ; 0.3 ; 0.0059 ; 0.0004 ; g ; Sm-152 ; 14 ; 12 ;  ; 
735.4 ; 0.1 ; 0.0058 ; 0.0010 ; g ; Sm-152 ; -1 ; 9 ;  ; 
209.41 ; 0.13 ; 0.0055 ; 0.0005 ; g ; Gd-152 ; 14 ; 11 ;  ; 
756.12 ; 0.09 ; 0.0054 ; 0.0008 ; g ; Sm-152 ; -1 ; 10 ;  ; 
1608.36 ; 0.08 ; 0.0053 ; 0.0003 ; g ; Sm-152 ; 17 ; 1 ;  ; 
385.69 ; 0.20 ; 0.0050 ; 0.0006 ; g ; Sm-152 ; 18 ; 12 ;  ; 
496.39 ; 0.03 ; 0.0049 ; 0.0005 ; g ; Sm-152 ; 17 ; 10 ;  ; 
1314.7 ; 0.2 ; 0.0048 ; 0.0006 ; g ; Gd-152 ; 9 ; 0 ;  ; 
1390.36 ; 0.16 ; 0.0048 ; 0.0006 ; g ; Sm-152 ; 18 ; 2 ;  ; 
571.83 ; 0.08 ; 0.0048 ; 0.0008 ; g ; Sm-152 ; 15 ; 8 ;  ; 
1001.1 ; 0.3 ; 0.0046 ; 0.0010 ; g ; Sm-152 ; -1 ; 12 ;  ; 
557.91 ; 0.17 ; 0.0044 ; 0.0007 ; g ; Gd-152 ; 13 ; 5 ;  ; 
538.29 ; 0.06 ; 0.0042 ; 0.0006 ; g ; Sm-152 ; 14 ; 8 ;  ; 
496.39 ; 0.03 ; 0.0042 ; 0.0004 ; g ; Gd-152 ; 13 ; 6 ;  ; 
357.26 ; 0.05 ; 0.0040 ; 0.0005 ; g ; Sm-152 ; 16 ; 11 ;  ; 
703.25 ; 0.06 ; 0.0035 ; 0.0009 ; g ; Gd-152 ; 10 ; 2 ;  ; 
423.45 ; 0.04 ; 0.0032 ; 0.0005 ; g ; Sm-152 ; 10 ; 5 ;  ; 
683.32 ; 0.11 ; 0.0031 ; 0.0008 ; g ; Sm-152 ; -1 ; 7 ;  ; 
595.61 ; 0.01 ; 0.0031 ; 0.0017 ; g ; Sm-152 ; -1 ; 6 ;  ; 
316.2 ; 0.2 ; 0.0031 ; 0.0010 ; g ; Sm-152 ; 7 ; 4 ;  ; 
387.90 ; 0.08 ; 0.00296 ; 0.00021 ; g ; Gd-152 ; 10 ; 4 ;  ; 
696.87 ; 0.19 ; 0.0029 ; 0.0010 ; g ; Sm-152 ; -1 ; 8 ;  ; 
937.050 ; 0.015 ; 0.0027 ; 0.0006 ; g ; Gd-152 ; 15 ; 3 ;  ; 
237.31 ; 0.05 ; 0.0025 ; 0.0008 ; g ; Sm-152 ; -1 ; 0 ;  ; 
703.25 ; 0.06 ; 0.0018 ; 0.0009 ; g ; Gd-152 ; 5 ; 1 ;  ; 
320.03 ; 0.15 ; 0.0017 ; 0.0006 ; g ; Sm-152 ; -1 ; 1 ;  ; 
1643.6 ; 0.1 ; 0.0015 ; 0.0004 ; g ; Gd-152 ; 14 ; 0 ;  ; 
482.31 ; 0.03 ; 0.00139 ; 0.00006 ; g ; Gd-152 ; 13 ; 7 ;  ; 
1139 ; 1 ; 0.0013 ; 0.0003 ; g ; Sm-152 ; -1 ; 13 ;  ; 
391.32 ; 0.14 ; 0.00125 ; 0.00021 ; g ; Sm-152 ; -1 ; 3 ;  ; 
561.2 ; 0.5 ; 0.00108 ; 0.00021 ; g ; Sm-152 ; 12 ; 5 ;  ; 
406.74 ; 0.15 ; 0.00083 ; 0.00021 ; g ; Sm-152 ; -1 ; 4 ;  ; 
379.37 ; 0.06 ; 0.00083 ; 0.00021 ; g ; Sm-152 ; -1 ; 2 ;  ; 
1635.2 ; 0.5 ; 0.00015 ; 0.00005 ; g ; Sm-152 ; 18 ; 1 ;  ; 
==========================================================================================================================================
