Nucléide ; Ce-143 
Élément ; Cérium
Z ; 58
Fils ; (B-) ; Pr-143 ; 100
Q- ; 1461,4
Période (h) ; 33,040 ; 0,007
Période (s) ; 118,944E3 ; 0,025E3
Constante radioactive (1/s) ; 5,8275E-6 ; 0,0012E-6
Activité spécifique (Bq/g) ; 24,541E15 ; 0,005E15
Référence ; CEA/LNE-LNHB, NDS 94 - 2001
Émissions (58 raies) triées par nucléide et par énergie croissante
----------------------------------------------------- Ce-143 -----------------------------------------------------
Énergie (keV) ; Éner. inc. (keV) ; Intensité (%) ; Int. inc. (%) ; Type ; Origine ; Niv. déb. ; Niv. fin ; Père
357,8 ; 0,2 ; 0,00060 ; 0,00022 ; g ; Pr-143 ; -1 ; 9 ; Ce-143
371,292 ; 0,029 ; 0,025 ; 0,003 ; g ; Pr-143 ; -1 ; 10 ; Ce-143
389,64 ; 0,02 ; 0,0364 ; 0,0018 ; g ; Pr-143 ; -1 ; 11 ; Ce-143
416,57 ; 0,10 ; 0,0068 ; 0,0013 ; g ; Pr-143 ; -1 ; 12 ; Ce-143
432,999 ; 0,006 ; 0,159 ; 0,004 ; g ; Pr-143 ; -1 ; 13 ; Ce-143
438,43 ; 0,08 ; 0,0043 ; 0,0009 ; g ; Pr-143 ; -1 ; 14 ; Ce-143
446,02 ; 0,09 ; 0,015 ; 0,003 ; g ; Pr-143 ; -1 ; 15 ; Ce-143
447,45 ; 0,02 ; 0,060 ; 0,003 ; g ; Pr-143 ; -1 ; 16 ; Ce-143
490,368 ; 0,005 ; 2,16 ; 0,03 ; g ; Pr-143 ; -1 ; 17 ; Ce-143
497,81 ; 0,02 ; 0,045 ; 0,003 ; g ; Pr-143 ; -1 ; 18 ; Ce-143
523,0 ; 0,5 ; 0,0017 ; 0,0005 ; g ; Pr-143 ; -1 ; 19 ; Ce-143
556,87 ; 0,01 ; 0,0317 ; 0,0018 ; g ; Pr-143 ; -1 ; 20 ; Ce-143
569,91 ; 0,09 ; 0,0051 ; 0,0018 ; g ; Pr-143 ; -1 ; 21 ; Ce-143
587,20 ; 0,02 ; 0,267 ; 0,004 ; g ; Pr-143 ; -1 ; 22 ; Ce-143
594,5 ; 0,4 ; 0,001 ; 0,001 ; g ; Pr-143 ; -1 ; 23 ; Ce-143
614,22 ; 0,03 ; 0,0120 ; 0,0013 ; g ; Pr-143 ; -1 ; 24 ; Ce-143
664,571 ; 0,015 ; 5,69 ; 0,07 ; g ; Pr-143 ; -1 ; 25 ; Ce-143
670,12 ; 0,07 ; 0,0081 ; 0,0018 ; g ; Pr-143 ; -1 ; 26 ; Ce-143
675,5 ; 0,5 ; 0,0009 ; 0,0005 ; g ; Pr-143 ; -1 ; 27 ; Ce-143
682,8 ; 0,9 ; 0,0086 ; 0,0018 ; g ; Pr-143 ; -1 ; 28 ; Ce-143
709,59 ; 0,05 ; 0,0086 ; 0,0013 ; g ; Pr-143 ; -1 ; 29 ; Ce-143
721,929 ; 0,013 ; 5,39 ; 0,07 ; g ; Pr-143 ; -1 ; 30 ; Ce-143
729,87 ; 0,08 ; 0,0030 ; 0,0005 ; g ; Pr-143 ; -1 ; 31 ; Ce-143
767,70 ; 0,06 ; 0,0032 ; 0,0004 ; g ; Pr-143 ; -1 ; 32 ; Ce-143
787,40 ; 0,09 ; 0,0026 ; 0,0005 ; g ; Pr-143 ; -1 ; 33 ; Ce-143
791,07 ; 0,02 ; 0,0133 ; 0,0005 ; g ; Pr-143 ; -1 ; 34 ; Ce-143
806,34 ; 0,02 ; 0,0287 ; 0,0009 ; g ; Pr-143 ; -1 ; 35 ; Ce-143
809,98 ; 0,02 ; 0,0312 ; 0,0009 ; g ; Pr-143 ; -1 ; 36 ; Ce-143
880,461 ; 0,012 ; 1,030 ; 0,013 ; g ; Pr-143 ; -1 ; 37 ; Ce-143
891,47 ; 0,07 ; 0,0081 ; 0,0009 ; g ; Pr-143 ; -1 ; 38 ; Ce-143
907,1 ; 0,1 ; 0,0013 ; 0,0005 ; g ; Pr-143 ; -1 ; 39 ; Ce-143
937,82 ; 0,01 ; 0,0261 ; 0,0013 ; g ; Pr-143 ; -1 ; 40 ; Ce-143
956,9 ; 0,1 ; 0,0013 ; 0,0005 ; g ; Pr-143 ; -1 ; 41 ; Ce-143
1002,85 ; 0,01 ; 0,0753 ; 0,0019 ; g ; Pr-143 ; -1 ; 42 ; Ce-143
1014,3 ; 0,3 ; 0,0013 ; 0,0005 ; g ; Pr-143 ; -1 ; 43 ; Ce-143
1031,22 ; 0,03 ; 0,0201 ; 0,0009 ; g ; Pr-143 ; -1 ; 44 ; Ce-143
1046,78 ; 0,04 ; 0,0120 ; 0,0009 ; g ; Pr-143 ; -1 ; 45 ; Ce-143
1060,22 ; 0,02 ; 0,0364 ; 0,0014 ; g ; Pr-143 ; -1 ; 46 ; Ce-143
1103,25 ; 0,02 ; 0,415 ; 0,006 ; g ; Pr-143 ; -1 ; 47 ; Ce-143
1160,58 ; 0,06 ; 0,0024 ; 0,0003 ; g ; Pr-143 ; -1 ; 48 ; Ce-143
1324,48 ; 0,03 ; 0,00158 ; 0,00005 ; g ; Pr-143 ; -1 ; 49 ; Ce-143
1340,1 ; 0,1 ; 0,00308 ; 0,00014 ; g ; Pr-143 ; -1 ; 50 ; Ce-143
1382 ; 1 ; 0,00039 ; 0,00013 ; g ; Pr-143 ; -1 ; 51 ; Ce-143
----------------------------------------------------- Pr-143 -----------------------------------------------------
742,1 ; 0,1 ; 0,0000012 ;  ; g ; Nd-143 ; 1 ; 0 ; Pr-143
==================================================================================================================
