Nucléide ; Tl-200 
Élément ; Thallium
Z ; 81
Fils ; (B+, EC) ; Hg-200 ; 100
Q+ ; 2456
Père(s) possible(s) ; (B+, EC) ; Pb-200 ; 100
Période (d) ; 1,088 ; 0,005
Période (s) ; 94,00E3 ; 0,43E3
Constante radioactive (1/s) ; 7,374E-6 ; 0,034E-6
Activité spécifique (Bq/g) ; 22,20E15 ; 0,10E15
Référence ; NDS 108 - 2014
Émissions X et gamma (100 raies) triées par énergie croissante
------------------------------------------------------------------------------------------------------------------
Énergie (keV) ; Éner. inc. (keV) ; Intensité (%) ; Int. inc. (%) ; Type ; Origine ; Niv. déb. ; Niv. fin
783,6 ; 0,4 ; 0,57 ; 0,18 ; g ; Hg-200 ; -1 ; 43 ; 
787,1 ; 0,3 ; 1,03 ; 0,19 ; g ; Hg-200 ; -1 ; 44 ; 
828,32 ; 0,10 ; 10,8 ; 0,1 ; g ; Hg-200 ; -1 ; 45 ; 
872,8 ;  ; 0,017 ; 0,009 ; g ; Hg-200 ; -1 ; 46 ; 
873,8 ;  ; 0,052 ; 0,018 ; g ; Hg-200 ; -1 ; 47 ; 
886,15 ; 0,10 ; 2,02 ; 0,18 ; g ; Hg-200 ; -1 ; 48 ; 
898,52 ; 0,12 ; 0,619 ; 0,044 ; g ; Hg-200 ; -1 ; 49 ; 
936,1 ; 0,4 ; 0,061 ; 0,035 ; g ; Hg-200 ; -1 ; 50 ; 
975,3 ; 0,4 ; 0,079 ; 0,026 ; g ; Hg-200 ; -1 ; 51 ; 
1027,11 ; 0,20 ; 0,061 ; 0,018 ; g ; Hg-200 ; -1 ; 52 ; 
1029,2 ; 0,5 ; 0,00030 ; 0,00003 ; g ; Hg-200 ; -1 ; 53 ; 
1147,12 ; 0,20 ; 0,122 ; 0,035 ; g ; Hg-200 ; -1 ; 54 ; 
1167,1 ; 0,3 ; 0,105 ; 0,035 ; g ; Hg-200 ; -1 ; 55 ; 
1180,5 ; 0,3 ; 0,110 ; 0,035 ; g ; Hg-200 ; -1 ; 56 ; 
1202,37 ; 0,07 ; 0,113 ; 0,026 ; g ; Hg-200 ; -1 ; 57 ; 
1205,70 ; 0,09 ; 30 ; 3 ; g ; Hg-200 ; -1 ; 58 ; 
1225,50 ; 0,09 ; 3,3 ; 0,3 ; g ; Hg-200 ; -1 ; 59 ; 
1254,11 ; 0,11 ; 0,9 ; 0,1 ; g ; Hg-200 ; -1 ; 60 ; 
1262,97 ; 0,21 ; 0,78 ; 0,09 ; g ; Hg-200 ; -1 ; 61 ; 
1273,52 ; 0,10 ; 3,3 ; 0,2 ; g ; Hg-200 ; -1 ; 62 ; 
1291,11 ; 0,11 ; 0,60 ; 0,06 ; g ; Hg-200 ; -1 ; 63 ; 
1341,7 ; 0,5 ; 0,043 ; 0,018 ; g ; Hg-200 ; -1 ; 64 ; 
1350,35 ; 0,16 ; 0,148 ; 0,013 ; g ; Hg-200 ; -1 ; 65 ; 
1363,2 ; 0,3 ; 3,4 ; 0,4 ; g ; Hg-200 ; -1 ; 66 ; 
1366,8 ; 1,0 ; 0,9 ; 0,3 ; g ; Hg-200 ; -1 ; 67 ; 
1407,64 ; 0,11 ; 1,44 ; 0,16 ; g ; Hg-200 ; -1 ; 68 ; 
1477,78 ; 0,14 ; 0,152 ; 0,013 ; g ; Hg-200 ; -1 ; 69 ; 
1514,9 ; 0,1 ; 4,0 ; 0,4 ; g ; Hg-200 ; -1 ; 70 ; 
1570,45 ; 0,15 ; 0,27 ; 0,05 ; g ; Hg-200 ; -1 ; 71 ; 
1573,6 ; 1,0 ; 0,052 ; 0,026 ; g ; Hg-200 ; -1 ; 72 ; 
1604,50 ; 0,14 ; 1,17 ; 0,12 ; g ; Hg-200 ; -1 ; 73 ; 
1631,2 ; 0,3 ; 0,067 ; 0,015 ; g ; Hg-200 ; -1 ; 74 ; 
1693,35 ; 0,14 ; 0,079 ; 0,009 ; g ; Hg-200 ; -1 ; 75 ; 
1718,35 ; 0,14 ; 0,33 ; 0,03 ; g ; Hg-200 ; -1 ; 76 ; 
1746,40 ; 0,18 ; 0,057 ; 0,006 ; g ; Hg-200 ; -1 ; 77 ; 
1759,15 ; 0,14 ; 0,140 ; 0,035 ; g ; Hg-200 ; -1 ; 78 ; 
1759,9 ;  ; 0,0436 ; 0,0002 ; g ; Hg-200 ; -1 ; 79 ; 
1783,4 ; 0,4 ; 0,0140 ; 0,0035 ; g ; Hg-200 ; -1 ; 80 ; 
1861,0 ; 0,5 ; 0,0079 ; 0,0035 ; g ; Hg-200 ; -1 ; 81 ; 
1870,56 ; 0,22 ; 0,031 ; 0,006 ; g ; Hg-200 ; -1 ; 82 ; 
1906,30 ; 0,18 ; 0,114 ; 0,010 ; g ; Hg-200 ; -1 ; 83 ; 
1920,6 ; 0,3 ; 0,065 ; 0,008 ; g ; Hg-200 ; -1 ; 84 ; 
1928,7 ; 1,0 ; 0,0061 ; 0,0035 ; g ; Hg-200 ; -1 ; 85 ; 
1963,7 ; 0,3 ; 0,0157 ; 0,0044 ; g ; Hg-200 ; -1 ; 86 ; 
1975,3 ; 0,6 ; 0,045 ; 0,006 ; g ; Hg-200 ; -1 ; 87 ; 
2002,0 ; 0,4 ; 0,043 ; 0,006 ; g ; Hg-200 ; -1 ; 88 ; 
2020,6 ; 0,5 ; 0,0288 ; 0,0035 ; g ; Hg-200 ; -1 ; 89 ; 
2229 ; 1 ; 0,0035 ; 0,0018 ; g ; Hg-200 ; -1 ; 90 ; 
2274,0 ; 0,6 ; 0,0166 ; 0,0044 ; g ; Hg-200 ; -1 ; 91 ; 
2288,8 ; 1,0 ; 0,0035 ; 0,0018 ; g ; Hg-200 ; -1 ; 92 ; 
2296,4 ; 0,4 ; 0,0331 ; 0,0044 ; g ; Hg-200 ; -1 ; 93 ; 
==================================================================================================================
